tier,pattern,tool,kind,ms,gist_ms,ratio
lit+word,"func\s+\w+\(",csearch,indexed,149.9,824.0,0.2x
lit+word,"func\s+\w+\(",zoekt,indexed,103.7,824.0,0.1x
lit+word,"func\s+\w+\(",rg,unindexed,225.6,824.0,0.3x
lit+word,"func\s+\w+\(",gitgrep,unindexed,456.7,824.0,0.6x
lit+word,"return\s+nil",csearch,indexed,91.3,989.2,0.1x
lit+word,"return\s+nil",zoekt,indexed,405.6,989.2,0.4x
lit+word,"return\s+nil",rg,unindexed,212.5,989.2,0.2x
lit+word,"return\s+nil",gitgrep,unindexed,475.9,989.2,0.5x
lit+class,"pgxpool\.\w+",csearch,indexed,14.5,676.6,0.0x
lit+class,"pgxpool\.\w+",zoekt,indexed,51.5,676.6,0.1x
lit+class,"pgxpool\.\w+",rg,unindexed,188.6,676.6,0.3x
lit+class,"pgxpool\.\w+",gitgrep,unindexed,455.1,676.6,0.7x
err-idiom,"if\s+err\s*!=\s*nil",csearch,indexed,76.8,897.5,0.1x
err-idiom,"if\s+err\s*!=\s*nil",zoekt,indexed,368.4,897.5,0.4x
err-idiom,"if\s+err\s*!=\s*nil",rg,unindexed,197.7,897.5,0.2x
err-idiom,"if\s+err\s*!=\s*nil",gitgrep,unindexed,465.8,897.5,0.5x
decl,"const\s+\w+\s*=",csearch,indexed,302.2,920.6,0.3x
decl,"const\s+\w+\s*=",zoekt,indexed,105.3,920.6,0.1x
decl,"const\s+\w+\s*=",rg,unindexed,209.5,920.6,0.2x
decl,"const\s+\w+\s*=",gitgrep,unindexed,454.5,920.6,0.5x
anchor^lit,"^package\s+\w+",csearch,indexed,126.9,735.4,0.2x
anchor^lit,"^package\s+\w+",zoekt,indexed,554.5,735.4,0.8x
anchor^lit,"^package\s+\w+",rg,unindexed,207.3,735.4,0.3x
anchor^lit,"^package\s+\w+",gitgrep,unindexed,487.2,735.4,0.7x
anchor^lit,"^func\s",csearch,indexed,123.1,778.6,0.2x
anchor^lit,"^func\s",zoekt,indexed,601.3,778.6,0.8x
anchor^lit,"^func\s",rg,unindexed,213.0,778.6,0.3x
anchor^lit,"^func\s",gitgrep,unindexed,488.1,778.6,0.6x
anchor-lit$,";$",csearch,indexed,452.4,871.8,0.5x
anchor-lit$,";$",zoekt,indexed,102.7,871.8,0.1x
anchor-lit$,";$",rg,unindexed,198.7,871.8,0.2x
anchor-lit$,";$",gitgrep,unindexed,295.9,871.8,0.3x
anchor-lit$,"\)$",csearch,indexed,371.6,882.2,0.4x
anchor-lit$,"\)$",zoekt,indexed,145.6,882.2,0.2x
anchor-lit$,"\)$",rg,unindexed,273.5,882.2,0.3x
anchor-lit$,"\)$",gitgrep,unindexed,303.4,882.2,0.3x
anchor^lit$,"^\}$",csearch,indexed,415.5,855.8,0.5x
anchor^lit$,"^\}$",zoekt,indexed,872.7,855.8,1.0x
anchor^lit$,"^\}$",rg,unindexed,232.4,855.8,0.3x
anchor^lit$,"^\}$",gitgrep,unindexed,462.9,855.8,0.5x
anchor-empty,"^$",csearch,indexed,348.7,820.7,0.4x
anchor-empty,"^$",zoekt,indexed,926.9,820.7,1.1x
anchor-empty,"^$",rg,unindexed,290.0,820.7,0.4x
anchor-empty,"^$",gitgrep,unindexed,312.6,820.7,0.4x
count-class,"[0-9]{4}",csearch,indexed,440.1,1091.5,0.4x
count-class,"[0-9]{4}",zoekt,indexed,1246.9,1091.5,1.1x
count-class,"[0-9]{4}",rg,unindexed,235.0,1091.5,0.2x
count-class,"[0-9]{4}",gitgrep,unindexed,340.0,1091.5,0.3x
count-word,"\w{3,8}",csearch,indexed,324.5,919.9,0.4x
count-word,"\w{3,8}",zoekt,indexed,634.1,919.9,0.7x
count-word,"\w{3,8}",rg,unindexed,309.2,919.9,0.3x
count-word,"\w{3,8}",gitgrep,unindexed,286.7,919.9,0.3x
count-hex,"[a-f0-9]{2,}",csearch,indexed,324.7,1001.3,0.3x
count-hex,"[a-f0-9]{2,}",zoekt,indexed,460.3,1001.3,0.5x
count-hex,"[a-f0-9]{2,}",rg,unindexed,298.6,1001.3,0.3x
count-hex,"[a-f0-9]{2,}",gitgrep,unindexed,285.3,1001.3,0.3x
uuid-ish,"[0-9a-f]{8}-[0-9a-f]{4}",csearch,indexed,328.3,1117.5,0.3x
uuid-ish,"[0-9a-f]{8}-[0-9a-f]{4}",zoekt,indexed,1803.8,1117.5,1.6x
uuid-ish,"[0-9a-f]{8}-[0-9a-f]{4}",rg,unindexed,191.9,1117.5,0.2x
uuid-ish,"[0-9a-f]{8}-[0-9a-f]{4}",gitgrep,unindexed,723.0,1117.5,0.6x
snake,"[a-z]+_[a-z]+_[a-z]+",csearch,indexed,402.4,1107.1,0.4x
snake,"[a-z]+_[a-z]+_[a-z]+",zoekt,indexed,1382.3,1107.1,1.2x
snake,"[a-z]+_[a-z]+_[a-z]+",rg,unindexed,247.4,1107.1,0.2x
snake,"[a-z]+_[a-z]+_[a-z]+",gitgrep,unindexed,492.6,1107.1,0.4x
camel,"[a-z]+[A-Z]\w+",csearch,indexed,340.4,1083.4,0.3x
camel,"[a-z]+[A-Z]\w+",zoekt,indexed,709.4,1083.4,0.7x
camel,"[a-z]+[A-Z]\w+",rg,unindexed,283.9,1083.4,0.3x
camel,"[a-z]+[A-Z]\w+",gitgrep,unindexed,359.5,1083.4,0.3x
dotted-call,"\w+\.\w+\(",csearch,indexed,399.0,1101.9,0.4x
dotted-call,"\w+\.\w+\(",zoekt,indexed,1183.9,1101.9,1.1x
dotted-call,"\w+\.\w+\(",rg,unindexed,252.2,1101.9,0.2x
dotted-call,"\w+\.\w+\(",gitgrep,unindexed,14129.9,1101.9,12.8x
alt-cover,"return|continue|break",csearch,indexed,249.2,1065.6,0.2x
alt-cover,"return|continue|break",zoekt,indexed,132.3,1065.6,0.1x
alt-cover,"return|continue|break",rg,unindexed,252.4,1065.6,0.2x
alt-cover,"return|continue|break",gitgrep,unindexed,455.1,1065.6,0.4x
alt-cover,"func|struct|enum",csearch,indexed,250.5,1185.3,0.2x
alt-cover,"func|struct|enum",zoekt,indexed,131.8,1185.3,0.1x
alt-cover,"func|struct|enum",rg,unindexed,337.9,1185.3,0.3x
alt-cover,"func|struct|enum",gitgrep,unindexed,501.3,1185.3,0.4x
alt-cover,"error|panic|fatal",csearch,indexed,191.4,1018.8,0.2x
alt-cover,"error|panic|fatal",zoekt,indexed,120.8,1018.8,0.1x
alt-cover,"error|panic|fatal",rg,unindexed,223.9,1018.8,0.2x
alt-cover,"error|panic|fatal",gitgrep,unindexed,452.9,1018.8,0.4x
alt-mixed,"panic|0x",csearch,indexed,442.7,957.0,0.5x
alt-mixed,"panic|0x",zoekt,indexed,2134.8,957.0,2.2x
alt-mixed,"panic|0x",rg,unindexed,193.2,957.0,0.2x
alt-mixed,"panic|0x",gitgrep,unindexed,355.1,957.0,0.4x
