needle,tool,kind,ms,gist_ms,ratio
zzqxvNOMATCH,csearch,indexed,4.9,593.5,0.0x
zzqxvNOMATCH,zoekt,indexed,48.9,593.5,0.1x
zzqxvNOMATCH,rg,unindexed,184.5,593.5,0.3x
zzqxvNOMATCH,gitgrep,unindexed,296.6,593.5,0.5x
queryLiteral,csearch,indexed,5.9,607.3,0.0x
queryLiteral,zoekt,indexed,51.1,607.3,0.1x
queryLiteral,rg,unindexed,194.3,607.3,0.3x
queryLiteral,gitgrep,unindexed,270.4,607.3,0.4x
pgxpool,csearch,indexed,18.2,594.6,0.0x
pgxpool,zoekt,indexed,54.6,594.6,0.1x
pgxpool,rg,unindexed,224.7,594.6,0.4x
pgxpool,gitgrep,unindexed,278.3,594.6,0.5x
rate_limit,csearch,indexed,15.7,648.9,0.0x
rate_limit,zoekt,indexed,49.3,648.9,0.1x
rate_limit,rg,unindexed,194.6,648.9,0.3x
rate_limit,gitgrep,unindexed,285.6,648.9,0.4x
context.Context,csearch,indexed,51.0,679.7,0.1x
context.Context,zoekt,indexed,91.2,679.7,0.1x
context.Context,rg,unindexed,197.8,679.7,0.3x
context.Context,gitgrep,unindexed,281.6,679.7,0.4x
goroutine,csearch,indexed,25.9,594.2,0.0x
goroutine,zoekt,indexed,50.3,594.2,0.1x
goroutine,rg,unindexed,211.2,594.2,0.4x
goroutine,gitgrep,unindexed,286.7,594.2,0.5x
SELECT,csearch,indexed,23.7,616.6,0.0x
SELECT,zoekt,indexed,52.7,616.6,0.1x
SELECT,rg,unindexed,189.9,616.6,0.3x
SELECT,gitgrep,unindexed,270.7,616.6,0.4x
func,csearch,indexed,159.2,774.8,0.2x
func,zoekt,indexed,100.5,774.8,0.1x
func,rg,unindexed,239.6,774.8,0.3x
func,gitgrep,unindexed,295.6,774.8,0.4x
import,csearch,indexed,259.8,957.5,0.3x
import,zoekt,indexed,89.6,957.5,0.1x
import,rg,unindexed,259.4,957.5,0.3x
import,gitgrep,unindexed,282.5,957.5,0.3x
func(,csearch,indexed,71.2,670.8,0.1x
func(,zoekt,indexed,50.2,670.8,0.1x
func(,rg,unindexed,203.2,670.8,0.3x
func(,gitgrep,unindexed,315.0,670.8,0.5x
}),csearch,indexed,485.5,794.0,0.6x
}),zoekt,indexed,57.1,794.0,0.1x
}),rg,unindexed,230.6,794.0,0.3x
}),gitgrep,unindexed,322.4,794.0,0.4x
